Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
TSO,2012-12-31,1639000000.0,743000000.0,10702000000.0,4251000000.0,6451000000.0,29809000000.0,5.33
TSS,2012-12-31,247612000.0,249923000.0,2023838000.0,1425210000.0,598628000.0,1793557000.0,1.3
TXN,2012-12-31,1416000000.0,1759000000.0,20021000000.0,10961000000.0,9060000000.0,12825000000.0,1.53
TXT,2012-12-29,1413000000.0,589000000.0,13033000000.0,2991000000.0,10042000000.0,12237000000.0,2.1
UA,2012-12-31,341841000.0,128778000.0,1157083000.0,816922000.0,340161000.0,1834921000.0,1.23
UAA,2012-12-31,341841000.0,128778000.0,1157083000.0,816922000.0,340161000.0,1834921000.0,
UAL,2012-12-31,4835000000.0,-723000000.0,37628000000.0,481000000.0,37147000000.0,37152000000.0,-2.18
UDR,2012-12-31,35676000.0,212177000.0,6859103000.0,2992916000.0,3866187000.0,716612000.0,0.85
UHS,2012-12-31,23471000.0,443446000.0,8200843000.0,2713345000.0,5487498000.0,6961400000.0,4.57
UNM,2012-12-31,77300000.0,894400000.0,62236100000.0,8612600000.0,53623500000.0,10515400000.0,3.18
UPS,2012-12-31,7327000000.0,807000000.0,38863000000.0,4653000000.0,34210000000.0,54127000000.0,0.84
VFC,2012-12-31,597461000.0,1085999000.0,9633021000.0,5125625000.0,4507396000.0,10879855000.0,
VLO,2012-12-31,1723000000.0,2083000000.0,44477000000.0,18032000000.0,26445000000.0,138393000000.0,3.77
VMC,2012-12-31,275478000.0,-52593000.0,8126599000.0,3761062000.0,4365537000.0,2567310000.0,-0.41
VRSK,2012-12-31,89819000.0,329142000.0,2360336000.0,255591000.0,2104745000.0,1407848000.0,1.98
VRSN,2012-12-31,130736000.0,320032000.0,2062476000.0,-9323000.0,2071799000.0,873592000.0,2.04
VRTX,2012-12-31,559390000.0,-107032000.0,2759288000.0,999180000.0,1760108000.0,1527042000.0,-0.5
VZ,2012-12-31,3093000000.0,875000000.0,225222000000.0,33157000000.0,192065000000.0,115846000000.0,0.31
WAT,2012-12-31,481035000.0,461443000.0,3168150000.0,1467357000.0,1700793000.0,1843641000.0,
WEC,2012-12-31,35600000.0,546300000.0,14285000000.0,4165500000.0,10119500000.0,4246400000.0,2.37
WFC,2012-12-31,451854000000.0,18897000000.0,1422968000000.0,157554000000.0,1265414000000.0,91247000000.0,3.4
WLTW,2012-12-31,500000000.0,-446000000.0,15112000000.0,1699000000.0,13413000000.0,3480000000.0,
WMB,2012-12-31,839000000.0,859000000.0,24327000000.0,4752000000.0,19575000000.0,7486000000.0,1.39
WU,2012-12-31,1776500000.0,1025900000.0,9465700000.0,940600000.0,8525100000.0,5664800000.0,1.7
WY,2012-12-31,898000000.0,385000000.0,12592000000.0,4070000000.0,8522000000.0,5989000000.0,0.71
WYN,2012-12-31,195000000.0,400000000.0,9463000000.0,1930000000.0,7533000000.0,4534000000.0,2.8
WYNN,2012-12-31,1725219000.0,502036000.0,7276594000.0,-259037000.0,7535631000.0,5154284000.0,4.87
XEC,2012-12-31,69538000.0,353823000.0,6305152000.0,3474736000.0,2830416000.0,1623938000.0,4.08
XEL,2012-12-31,82323000.0,905229000.0,31140686000.0,8874077000.0,22266609000.0,10128223000.0,1.86
XL,2012-12-31,2618378000.0,651128000.0,45386895000.0,10510077000.0,34876818000.0,7232397000.0,2.12
XOM,2012-12-31,9923000000.0,44880000000.0,333795000000.0,165863000000.0,167932000000.0,451509000000.0,9.7
XRAY,2012-12-31,80132000.0,314213000.0,4972297000.0,2208698000.0,2763599000.0,2928429000.0,2.22
XRX,2012-12-31,1246000000.0,1195000000.0,30015000000.0,11521000000.0,18494000000.0,20421000000.0,0.9
XYL,2012-12-31,504000000.0,297000000.0,4679000000.0,2074000000.0,2605000000.0,3791000000.0,1.6
YHOO,2012-12-31,2667778000.0,3945479000.0,17103253000.0,14560200000.0,2543053000.0,4986566000.0,3.31
YUM,2012-12-29,912000000.0,1597000000.0,9013000000.0,2154000000.0,6859000000.0,13633000000.0,3.46
ZBH,2012-12-31,884300000.0,755000000.0,9012400000.0,5860900000.0,3151500000.0,4471700000.0,4.32
ZION,2012-12-31,14472748000.0,349516000.0,55511918000.0,6052069000.0,49459849000.0,2458592000.0,0.97
